Código,Termo
3E-26-10-14-00-00-00,Descida de descarga
3E-26-10-16-00-00-00,Condutor de descida
3E-26-10-18-00-00-00,Condutor de equipotencialização
3E-26-10-20-00-00-00,Barramento de equipotencialização funcional
3E-26-10-22-00-00-00,Conector de medição
3E-26-10-24-00-00-00,Anel de cintamento
3E-26-10-26-00-00-00,Caixa de equalização
3E-26-12-00-00-00-00,Elementos para a distribuição de corrente
3E-26-12-02-00-00-00,Circuitos
3E-26-12-02-02-00-00,Circuito de alta-tensão
3E-26-12-02-04-00-00,Circuito de baixa tensão
3E-26-12-02-06-00-00,Circuito de corrente altemada
3E-26-12-02-08-00-00,Circuito de corrente contínua
3E-26-12-02-10-00-00,Circuito monofásico
3E-26-12-02-12-00-00,Circuito bifásico
3E-26-12-02-14-00-00,Circuito trifásico
3E-26-12-04-00-00-00,Quadro de distribuição residencial
3E-26-12-06-00-00-00,Painel geral de baixa tensão
3E-26-14-00-00-00-00,Elementos para a transformação de corrente
3E-26-14-02-00-00-00,Transformador diferencial
3E-26-14-04-00-00-00,Transformador de corrente
3E-26-14-06-00-00-00,Transformador de potência
3E-26-16-00-00-00-00,Elementos para o acionamento de corrente
3E-26-16-02-00-00-00,Interruptores
3E-26-16-04-00-00-00,Controladores de intensidade - dimmer
3E-26-18-00-00-00-00,Elementos para o fornecimento de corrente
3E-26-20-00-00-00-00,Elementos condutores de corrente
3E-26-20-02-00-00-00,Condutor para baixa tensão
3E-26-20-04-00-00-00,Condutor para uso geral
3E-26-20-06-00-00-00,Condutor para uso específico
3E-26-20-08-00-00-00,Condutor de fase
3E-26-20-10-00-00-00,Condutor neutro
3E-26-20-12-00-00-00,Condutor-terra
3E-26-20-14-00-00-00,Condutor de retorno
3E-26-20-16-00-00-00,Condutor pen
3E-26-22-00-00-00-00,Elementos para a proteção de condutores
3E-26-22-02-00-00-00,Condutos
3E-26-22-04-00-00-00,Fixadores
3E-26-22-06-00-00-00,Grampos
3E-26-22-08-00-00-00,Suportes
3E-26-22-10-00-00-00,Conectores
3E-26-22-10-02-00-00,Derivadores
3E-26-22-10-04-00-00,Emendas
3E-26-22-10-06-00-00,Terminais
3E-28-00-00-00-00-00,Elementos de iluminação
3E-28-02-00-00-00-00,Elementos de iluminação de uso geral
3E-28-02-02-00-00-00,Fluxo luminoso direto
3E-28-02-04-00-00-00,Fluxo luminoso indireto
3E-28-02-06-00-00-00,Fluxo luminoso semidireto
3E-28-02-08-00-00-00,Fluxo luminoso semi-indireto
3E-28-02-10-00-00-00,Fluxo luminoso geral-difuso
3E-28-04-00-00-00-00,Elementos para modificar fluxos luminosos
3E-28-04-02-00-00-00,Superfície de absorção
3E-28-04-04-00-00-00,Superfície de refração
3E-28-04-06-00-00-00,Superficie de reflexão
3E-28-04-08-00-00-00,Superfície de difusão
3E-28-04-10-00-00-00,Superfície louver
3E-28-06-00-00-00-00,Elementos de iluminação de emergência
3E-30-00-00-00-00-00,Elementos de ventilação e exaustão
3E-30-02-00-00-00-00,Elementos de ventilação
3E-30-02-02-00-00-00,Ventilador centrífugo
3E-30-02-04-00-00-00,Ventilador axial ou tipo hélice
3E-30-04-00-00-00-00,Elementos de exaustão
3E-30-04-02-00-00-00,Captor de exaustão
3E-30-04-04-00-00-00,Duto de ar de exaustão
3E-30-04-06-00-00-00,Ventilador de exaustão
3E-30-04-08-00-00-00,Chaminé de exaustão
3E-32-00-00-00-00-00,Elementos de rede de distribuição de telecomunicações
3E-32-02-00-00-00-00,Elementos de rede de distribuição de telefonia
3E-32-02-02-00-00-00,Elementos da rede primária de distribuição de telefonia
3E-32-02-04-00-00-00,Elementos da rede secundária de distribuição de telefonia
3E-32-04-00-00-00-00,Elementos para redes de rádio
3E-32-06-00-00-00-00,Elementos para redes de tv
3E-32-08-00-00-00-00,Elementos para distribuição de internet
3E-34-00-00-00-00-00,Elementos de instalações prediais de telecomunicações
3E-34-02-00-00-00-00,Elementos de instalações de telefonia
3E-34-02-02-00-00-00,Elementos de entrada telefônica
3E-34-02-04-00-00-00,Elementos de ramais de entrada telefônica
3E-34-02-06-00-00-00,Elementos para distribuição interna de telefonia
3E-34-04-00-00-00-00,Elementos para instalações de internet
3E-34-06-00-00-00-00,Elementos para instalações de recepção de sinal de rádio
3E-34-08-00-00-00-00,Elementos para instalações de recepção de sinal de tv
3E-36-00-00-00-00-00,Elementos para sistemas de abastecimento de água
3E-36-02-00-00-00-00,Elementos para captação de água bruta
3E-36-04-00-00-00-00,Elementos para adução de água bruta
3E-36-06-00-00-00-00,Elementos para reservação de água bruta
3E-36-08-00-00-00-00,Elementos para tratamento de água bruta
3E-36-10-00-00-00-00,Elementos para adução de água potável
3E-36-12-00-00-00-00,Elementos para reservação de água potável
3E-36-14-00-00-00-00,Elementos para distribuição de água potável
3E-36-14-02-00-00-00,Elementos para distribuição direta de água potável
3E-36-14-04-00-00-00,Elementos para distribuição indireta de água potável
3E-36-14-04-02-00-00,Elementos para distribuição indireta de água potável sem bombeamento
3E-36-14-04-04-00-00,Elementos para distribuição indireta de água potável com bombeamento
3E-36-14-06-00-00-00,Elementos para distribuição mista de água potável
3E-36-14-08-00-00-00,Elementos para distribuição hidropneumática de água potável
3E-38-00-00-00-00-00,Elementos de instalações hidráulicas
3E-38-02-00-00-00-00,Elementos alimentadores em instalações hidráulicas
3E-38-02-02-00-00-00,Ramal de alimentação de água
3E-38-02-04-00-00-00,Alimentador de água
3E-38-02-06-00-00-00,Cavalete de água
3E-38-02-08-00-00-00,Reservatório de água
3E-38-02-10-00-00-00,Condutor de recalque de água
3E-38-02-12-00-00-00,Dispositivo para sucção de água
3E-38-02-14-00-00-00,Dispositivo para ventilação de água
3E-38-04-00-00-00-00,Elementos extravasores em instalações hidráulicas
3E-38-04-02-00-00-00,Tubulação para extravasão de água
3E-38-04-04-00-00-00,Tubulação para limpeza de água
3E-38-06-00-00-00-00,Elementos distribuidores em instalações hidráulicas
3E-38-06-02-00-00-00,Barrilete de água
3E-38-06-02-02-00-00,Barrilete de água unificado
3E-38-06-02-04-00-00,Barrilete de água ramificado
3E-38-06-04-00-00-00,Prumada de água
3E-38-06-06-00-00-00,Coluna de água
3E-38-06-08-00-00-00,Ramal de distribuição de água
3E-38-06-10-00-00-00,Sub-ramal de distribuição de água
3E-38-08-00-00-00-00,Elementos conectores em instalações hidráulicas
3E-38-10-00-00-00-00,Elementos aquecedores para instalações hidráulicas
3E-38-10-02-00-00-00,Aquecedor elétrico para instalações hidráulicas
3E-38-10-02-02-00-00,Aquecedor elétrico de passagem para instalações hidráulicas
3E-38-10-02-04-00-00,Aquecedor elétrico por acumulação para instalações hidráulicas
3E-38-10-04-00-00-00,Aquecedor a gás para instalações hidráulicas
3E-38-10-04-02-00-00,Aquecedor a gás de passagem para instalações hidráulicas
3E-38-10-04-04-00-00,Aquecedor a gás por acumulação para instalações hidráulicas
3E-38-12-00-00-00-00,Elementos de isolamento térmico para instalações hidráulicas
3E-38-14-00-00-00-00,Elementos controladores de fluxo em instalações hidráulicas
3E-38-16-00-00-00-00,Elementos terminais em instalações hidráulicas
3E-40-00-00-00-00-00,Elementos de instalações de água pluvial
3E-40-02-00-00-00-00,Elementos para captação de águas pluviais
3E-40-04-00-00-00-00,Elementos para inspeção de instalações de água pluvial
3E-40-06-00-00-00-00,Elementos para tratamento de águas pluviais
3E-40-06-02-00-00-00,Dispositivo de descarte das primeiras águas
3E-40-06-04-00-00-00,Separador de materiais grosseiros para aproveitamento de águas pluviais
3E-40-06-06-00-00-00,Sistema de tratamento e desinfecção para aproveitamento de águas pluviais
3E-40-06-08-00-00-00,Reservatório para aproveitamento de águas pluviais
